ID,Name,SpriteURL,BallType,TYPE,HP,ATK,DEF,SPATK,SPDEF,SPD
1,bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,pokeball,grass/poison,45,49,49,65,65,45
2,ivysaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,GreatBall,grass/poison,60,62,63,80,80,60
3,venusaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,ultraball,grass/poison,80,82,83,100,100,80
4,charmander,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,pokeball,fire,39,52,43,60,50,65
5,charmeleon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,GreatBall,fire,58,64,58,80,65,80
6,charizard,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,ultraball,fire/flying,78,84,78,109,85,100
7,squirtle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,pokeball,water,44,48,65,50,64,43
8,wartortle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,GreatBall,water,59,63,80,65,80,58
9,blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,ultraball,water,79,83,100,85,105,78
10,caterpie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,pokeball,bug,45,30,35,20,20,45
11,metapod,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,GreatBall,bug,50,20,55,25,25,30
12,butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,ultraball,bug/flying,60,45,50,90,80,70
13,weedle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,pokeball,bug/poison,40,35,30,20,20,50
14,kakuna,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,GreatBall,bug/poison,45,25,50,25,25,35
15,beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,ultraball,bug/poison,65,90,40,45,80,75
16,pidgey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,pokeball,normal/flying,40,45,40,35,35,56
17,pidgeotto,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,GreatBall,normal/flying,63,60,55,50,50,71
18,pidgeot,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,ultraball,normal/flying,83,80,75,70,70,101
19,rattata,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,pokeball,normal,30,56,35,25,35,72
20,raticate,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,ultraball,normal,55,81,60,50,70,97
21,spearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,pokeball,normal/flying,40,60,30,31,31,70
22,fearow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,ultraball,normal/flying,65,90,65,61,61,100
23,ekans,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,pokeball,poison,35,60,44,40,54,55
24,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,ultraball,poison,60,95,69,65,79,80
25,pikachu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,GreatBall,electric,35,55,40,50,50,90
26,raichu,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,ultraball,electric,60,90,55,90,80,110
27,sandshrew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,pokeball,ground,50,75,85,20,30,40
28,sandslash,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,ultraball,ground,75,100,110,45,55,65
30,nidorina,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,GreatBall,poison,70,62,67,55,55,56
31,nidoqueen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,ultraball,poison/ground,90,92,87,75,85,76
33,nidorino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,GreatBall,poison,61,72,57,55,55,65
34,nidoking,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,ultraball,poison/ground,81,102,77,85,75,85
35,clefairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,GreatBall,fairy,70,45,48,60,65,35
36,clefable,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,ultraball,fairy,95,70,73,95,90,60
37,vulpix,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,pokeball,fire,38,41,40,50,65,65
38,ninetales,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,ultraball,fire,73,76,75,81,100,100
39,jigglypuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,GreatBall,normal/fairy,115,45,20,45,25,20
40,wigglytuff,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,ultraball,normal/fairy,140,70,45,85,50,45
41,zubat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,pokeball,poison/flying,40,45,35,30,40,55
42,golbat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,GreatBall,poison/flying,75,80,70,65,75,90
43,oddish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,pokeball,grass/poison,45,50,55,75,65,30
44,gloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,GreatBall,grass/poison,60,65,70,85,75,40
45,vileplume,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,ultraball,grass/poison,75,80,85,110,90,50
46,paras,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,pokeball,bug/grass,35,70,55,45,55,25
47,parasect,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,ultraball,bug/grass,60,95,80,60,80,30
48,venonat,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,pokeball,bug/poison,60,55,50,40,55,45
49,venomoth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,ultraball,bug/poison,70,65,60,90,75,90
50,diglett,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,pokeball,ground,10,55,25,35,45,95
